CustomerID,Lookalikes
C0001,C0194:0.5211;C0184:0.5113;C0129:0.4668
C0002,C0128:0.6315;C0106:0.6287;C0159:0.6161
C0003,C0181:0.6574;C0096:0.4422;C0067:0.4238
C0004,C0025:0.5109;C0082:0.3869;C0041:0.3322
C0005,C0080:0.7233;C0128:0.6642;C0178:0.6441
C0006,C0040:0.6;C0178:0.501;C0013:0.4885
C0007,C0106:0.6261;C0005:0.5821;C0079:0.5606
C0008,C0154:0.4976;C0098:0.462;C0143:0.4095
C0009,C0058:0.8776;C0083:0.8709;C0042:0.8651
C0010,C0111:0.5407;C0009:0.4812;C0094:0.4751
C0011,C0107:0.6001;C0120:0.4793;C0108:0.4399
C0012,C0168:0.4865;C0101:0.4678;C0066:0.466
C0013,C0006:0.4885;C0040:0.4556;C0171:0.441
C0014,C0097:0.8284;C0080:0.747;C0119:0.7394
C0015,C0036:0.7604;C0095:0.7159;C0189:0.7027
C0016,C0196:0.5685;C0187:0.5334;C0146:0.4408
C0017,C0024:0.4296;C0087:0.3735;C0124:0.3724
C0018,C0087:0.4373;C0034:0.3924;C0065:0.3909
C0019,C0064:0.5041;C0084:0.4197;C0103:0.4068
C0020,C0092:0.7319;C0050:0.7214;C0130:0.7055
